,Total students count,UG student % (Domestic),PG student % (Domestic),International students count,UG student % (International),PG student % (International),Total faculty staff count,Domestic staff %,International staff %
0,"11,035",39%,61%,"3,627",17%,83%,"2,919",45%,55%
1,"20,871",63%,37%,"7,865",40%,60%,"5,735",48%,52%
2,"14,518",41%,59%,"3,318",20%,80%,"4,694",51%,49%
3,"21,972",56%,44%,"9,024",30%,70%,"6,650",55%,45%
4,"21,877",26%,74%,"5,379",12%,88%,"4,480",73%,27%
5,"2,240",40%,60%,683,10%,90%,969,50%,50%
6,"20,191",55%,45%,"12,332",49%,51%,"4,099",46%,54%
7,"41,194",52%,48%,"25,076",50%,50%,"7,251",53%,47%
8,"20,892",47%,53%,"8,420",26%,74%,"2,820",23%,77%
9,"16,325",43%,57%,"4,442",24%,76%,"2,703",69%,31%
10,"30,725",82%,18%,"8,129",53%,47%,"4,268",37%,63%
11,"31,873",53%,47%,"5,436",61%,39%,"5,361",77%,23%
12,"22,261",44%,56%,"5,426",24%,76%,"5,069",59%,41%
13,"36,893",43%,57%,"5,162",46%,54%,"6,136",94%,6%
14,"33,861",71%,29%,"15,268",57%,43%,"4,865",54%,46%
15,"10,919",50%,50%,"6,837",42%,58%,"1,757",20%,80%
16,"7,767",60%,40%,"1,813",30%,70%,"1,066",92%,8%
17,"11,283",52%,48%,"3,118",22%,78%,"5,527",65%,35%
18,"25,895",80%,20%,"6,900",47%,53%,"3,735",35%,65%
19,"23,188",63%,37%,"5,015",29%,71%,"2,838",80%,20%
20,"19,958",74%,26%,"8,353",59%,41%,"2,957",30%,70%
21,"25,914",30%,70%,"8,686",16%,84%,"7,401",84%,16%
22,"27,826",50%,50%,"4,063",12%,88%,"4,534",93%,7%
23,"14,891",39%,61%,"4,251",22%,78%,"4,969",76%,24%
24,"45,651",66%,34%,"7,341",40%,60%,"7,132",73%,27%
25,"14,591",25%,75%,"5,536",17%,83%,"3,180",77%,23%
26,"40,468",75%,25%,"8,989",66%,34%,"3,405",62%,38%
27,"41,182",69%,31%,"18,345",57%,43%,"4,829",62%,38%
28,"24,451",65%,35%,"2,014",70%,30%,"3,838",92%,8%
29,"17,269",61%,39%,"6,152",35%,65%,"1,716",40%,60%
30,"30,391",76%,24%,"11,082",69%,31%,"3,926",66%,34%
31,"19,273",42%,58%,"3,384",24%,76%,"3,579",82%,18%
32,"48,157",54%,46%,"22,559",47%,53%,"3,668",63%,37%
33,"30,385",53%,47%,"5,322",63%,37%,"4,771",65%,35%
34,"81,016",76%,24%,"30,014",78%,22%,"10,191",60%,40%
35,"22,537",53%,47%,"2,905",7%,93%,"3,863",91%,9%
36,"33,399",61%,39%,"17,592",55%,45%,"4,027",55%,45%
37,"18,300",85%,15%,"6,062",70%,30%,"2,217",46%,54%
38,"33,331",56%,44%,"11,936",46%,54%,"7,386",85%,15%
39,"9,581",82%,18%,"3,041",52%,48%,"1,176",21%,79%
40,"57,354",61%,39%,"35,254",53%,47%,"3,297",53%,47%
41,"9,974",34%,66%,916,43%,57%,"1,289",88%,12%
42,"48,150",48%,52%,"7,463",52%,48%,"5,084",53%,47%
43,"45,771",70%,30%,"6,647",48%,52%,"4,532",81%,19%
44,"37,891",74%,26%,"17,748",61%,39%,"3,149",44%,56%
45,"38,056",46%,54%,"6,637",62%,38%,"4,492",89%,11%
46,"51,766",82%,18%,"13,917",75%,25%,"6,269",65%,35%
47,"5,930",26%,74%,"2,417",22%,78%,"1,148",56%,44%
48,"34,724",49%,51%,"13,001",37%,63%,"6,855",73%,27%
49,"15,969",41%,59%,"3,445",18%,82%,"5,608",89%,11%
50,"42,871",65%,35%,"23,372",51%,49%,"3,339",40%,60%
51,"12,692",50%,50%,"4,786",22%,78%,"1,537",84%,16%
52,"38,568",81%,19%,"8,184",65%,35%,"4,476",78%,22%
53,"8,876",66%,34%,"5,337",41%,59%,"1,382",20%,80%
54,"9,928",48%,52%,"1,720",16%,84%,"1,431",84%,16%
55,"12,349",45%,55%,"8,958",36%,64%,"1,224",36%,64%
56,"56,357",70%,30%,"31,022",60%,40%,"3,644",44%,56%
57,"36,003",64%,36%,"10,464",64%,36%,"2,989",63%,37%
58,"34,444",66%,34%,"6,042",51%,49%,"4,024",75%,25%
59,"42,298",48%,52%,"9,078",40%,60%,"4,543",86%,14%
60,"21,238",46%,54%,"6,358",24%,76%,"2,036",50%,50%
61,"27,627",76%,24%,"8,404",55%,45%,"3,230",64%,36%
62,"10,308",69%,31%,"2,088",45%,55%,"1,477",69%,31%
63,"25,291",71%,29%,"10,987",55%,45%,"2,535",56%,44%
64,"19,315",74%,26%,"3,793",59%,41%,"4,186",79%,21%
65,"21,207",69%,31%,"6,103",34%,66%,"2,971",43%,57%
66,"117,449",92%,8%,"29,516",88%,12%,"16,103",76%,24%
67,"22,753",65%,35%,"2,296",22%,78%,"2,132",87%,13%
68,"29,592",26%,74%,"7,028",11%,89%,"7,368",81%,19%
69,"19,157",69%,31%,"4,053",21%,79%,"2,403",83%,17%
70,"3,146",38%,62%,92,0%,100%,762,84%,16%
71,"48,128",79%,21%,"4,074",38%,62%,"2,974",95%,5%
72,"24,442",77%,23%,"5,046",88%,12%,"3,803",89%,11%
73,"25,306",72%,28%,"4,052",84%,16%,"3,828",91%,9%
74,"30,385",58%,42%,"10,341",51%,49%,"6,572",89%,11%
75,"49,513",46%,54%,"9,243",22%,78%,"2,800",63%,37%
76,"31,732",54%,46%,"5,058",66%,34%,"2,992",89%,11%
77,"20,057",70%,30%,"7,090",46%,54%,"2,483",59%,41%
78,"17,676",60%,40%,"1,928",12%,88%,"3,412",91%,9%
79,"43,692",68%,32%,"7,352",63%,37%,"2,796",85%,15%
80,"32,330",61%,39%,"13,848",36%,64%,"3,554",60%,40%
81,"30,326",51%,49%,"5,382",40%,60%,"7,293",64%,36%
82,"40,700",74%,26%,"5,458",54%,46%,"5,332",78%,22%
83,"21,842",53%,47%,"4,494",28%,72%,"3,761",46%,54%
84,"46,173",70%,30%,"8,969",47%,53%,"2,818",89%,11%
85,"34,422",77%,23%,"10,710",53%,47%,"3,539",67%,33%
86,"27,805",84%,16%,"9,541",70%,30%,"2,286",50%,50%
87,"26,081",70%,30%,"5,631",24%,76%,"3,828",79%,21%
88,"13,198",56%,44%,"3,365",25%,75%,"1,721",58%,42%
89,"18,532",63%,37%,"9,013",56%,44%,"1,539",33%,67%
90,"33,430",71%,29%,"10,533",53%,47%,"3,518",64%,36%
91,"19,922",80%,20%,"6,255",63%,37%,"1,837",58%,42%
92,"44,827",86%,14%,"6,943",64%,36%,"4,207",87%,13%
93,"19,280",40%,60%,"1,038",3%,97%,"2,993",89%,11%
94,"30,184",69%,31%,"8,297",49%,51%,"3,380",59%,41%
95,"28,124",67%,33%,"11,193",46%,54%,"3,366",67%,33%
96,"10,485",79%,21%,"4,818",70%,30%,"1,272",55%,45%
97,"16,019",76%,24%,"5,593",59%,41%,"1,383",51%,49%
98,"22,397",77%,23%,"3,923",76%,24%,"3,307",89%,11%
99,"7,956",53%,47%,"2,765",38%,62%,"1,014",65%,35%
100,"20,108",33%,67%,"3,607",20%,80%,"2,600",67%,33%
101,"34,934",83%,17%,"8,842",77%,23%,"3,050",68%,32%
102,"33,018",72%,28%,"2,666",62%,38%,"4,713",86%,14%
103,"9,598",52%,48%,"2,650",14%,86%,"2,251",47%,53%
104,"156,596",81%,19%,"3,847",48%,52%,"16,351",94%,6%
105,"32,346",83%,17%,"6,915",69%,31%,"4,092",54%,46%
106,"23,059",55%,45%,"1,266",18%,82%,"2,922",74%,26%
107,"25,448",63%,37%,"7,577",55%,45%,"2,589",84%,16%
108,"23,050",74%,26%,"10,945",60%,40%,"1,649",51%,49%
109,"30,547",80%,20%,"8,406",63%,37%,"3,493",58%,42%
110,"2,194",12%,88%,247,2%,98%,369,75%,25%
111,"15,658",61%,39%,"1,908",14%,86%,"2,504",91%,9%
112,"33,748",62%,38%,"4,454",41%,59%,"3,254",77%,23%
113,"33,984",79%,21%,"9,324",57%,43%,"3,338",64%,36%
114,"65,027",56%,44%,"1,693",14%,86%,"4,910",95%,5%
115,"13,149",49%,51%,"2,199",15%,85%,"1,387",61%,39%
116,"39,775",66%,34%,"8,443",56%,44%,"5,462",65%,35%
117,"24,567",63%,37%,"4,510",39%,61%,"1,405",76%,24%
118,"13,854",52%,48%,"2,987",17%,83%,"3,219",69%,31%
119,"9,688",44%,56%,"1,776",15%,85%,"1,212",43%,57%
120,"29,291",85%,15%,"1,133",37%,63%,"2,406",90%,10%
121,"26,602",79%,21%,"7,205",59%,41%,"2,671",70%,30%
122,"16,403",58%,42%,"5,949",34%,66%,"2,238",81%,19%
123,"15,102",40%,60%,"4,131",8%,92%,"2,767",79%,21%
124,"10,103",56%,44%,"2,641",31%,69%,"1,147",45%,55%
125,"22,463",71%,29%,"10,039",54%,46%,"2,305",52%,48%
126,"17,744",51%,49%,"6,871",38%,62%,"1,814",40%,60%
127,"24,749",67%,33%,"7,383",48%,52%,"2,998",54%,46%
128,"40,335",80%,20%,"8,034",56%,44%,"2,622",82%,18%
129,"17,093",70%,30%,"3,060",31%,69%,"2,837",82%,18%
130,"33,999",62%,38%,"5,535",40%,60%,"2,008",77%,23%
131,"33,767",63%,37%,"6,631",52%,48%,"2,769",67%,33%
132,"35,400",40%,60%,"2,513",59%,41%,"3,396",78%,22%
133,"44,156",46%,54%,"12,224",26%,74%,"3,165",84%,16%
134,"18,585",63%,37%,"2,305",15%,85%,"2,773",91%,9%
135,"8,632",42%,58%,"2,596",25%,75%,"1,057",36%,64%
136,"23,667",75%,25%,"9,664",57%,43%,"1,559",63%,37%
137,"10,873",51%,49%,"2,532",47%,53%,"1,210",43%,57%
138,"35,205",59%,41%,"7,525",21%,79%,"1,745",77%,23%
139,"55,381",79%,21%,"5,991",65%,35%,"6,191",82%,18%
140,"17,704",64%,36%,"1,984",14%,86%,"2,467",90%,10%
141,"19,731",60%,40%,"3,758",45%,55%,"2,019",74%,26%
142,"39,447",53%,47%,"4,993",22%,78%,"5,783",73%,27%
143,"18,570",61%,39%,"5,618",26%,74%,"2,329",87%,13%
144,"33,664",63%,37%,"10,529",62%,38%,"3,867",62%,38%
145,"16,362",75%,25%,"5,876",70%,30%,"1,442",62%,38%
146,"41,057",53%,47%,"11,877",39%,61%,"2,001",80%,20%
147,"10,364",62%,38%,"3,775",53%,47%,"1,687",72%,28%
148,"25,553",89%,11%,"3,774",77%,23%,"1,620",77%,23%
149,"20,706",77%,23%,"3,523",82%,18%,"4,273",85%,15%
150,"46,198",64%,36%,"14,970",55%,45%,"3,971",54%,46%
151,"27,216",86%,14%,"6,146",77%,23%,"4,052",53%,47%
152,"25,375",78%,22%,"7,800",72%,28%,"2,325",69%,31%
