,World Rank,University Name,City,Country,Overall Score,Academic Reputation,Employer Reputation,Citations per Faculty,Faculty Students Ratio,International Students Ratio,International Faculty Ratio,International Research Network,Employment Outcomes,Total students count,UG student % (Domestic),PG student % (Domestic),International students count,UG student % (International),PG student % (International),Total faculty staff count,Domestic staff %,International staff %
1,1,Massachusetts Institute of Technology (MIT),Cambridge,United States,100.0,100.0,100.0,100.0,100.0,90.0,100.0,96.1,100.0,11035,39.0,61.0,3627,17.0,83.0,2919,45.0,55.0
2,2,University of Cambridge,Cambridge,United Kingdom,98.8,100.0,100.0,92.3,100.0,96.3,100.0,99.5,100.0,20871,63.0,37.0,7865,40.0,60.0,5735,48.0,52.0
3,3,Stanford University,Stanford,United States,98.5,100.0,100.0,99.9,100.0,60.3,99.8,96.3,100.0,14518,41.0,59.0,3318,20.0,80.0,4694,51.0,49.0
4,4,University of Oxford,Oxford,United Kingdom,98.4,100.0,100.0,90.0,100.0,98.4,98.8,99.9,100.0,21972,56.0,44.0,9024,30.0,70.0,6650,55.0,45.0
5,5,Harvard University,Cambridge,United States,97.6,100.0,100.0,100.0,99.4,66.9,76.9,100.0,100.0,21877,26.0,74.0,5379,12.0,88.0,4480,73.0,27.0
6,6,California Institute of Technology (Caltech),Pasadena,United States,97.0,96.5,87.1,100.0,100.0,85.1,99.8,73.0,98.8,2240,40.0,60.0,683,10.0,90.0,969,50.0,50.0
7,6,Imperial College London,London,United Kingdom,97.0,98.3,99.7,86.5,99.5,100.0,100.0,98.1,88.8,20191,55.0,45.0,12332,49.0,51.0,4099,46.0,54.0
8,8,UCL,London,United Kingdom,95.0,99.4,98.6,77.0,97.6,100.0,99.2,100.0,90.3,41194,52.0,48.0,25076,50.0,50.0,7251,53.0,47.0
9,9,ETH Zurich,Zürich,Switzerland,93.6,98.6,91.3,99.2,74.2,98.0,100.0,96.2,91.1,20892,47.0,53.0,8420,26.0,74.0,2820,23.0,77.0
10,10,University of Chicago,Chicago,United States,93.2,99.2,92.2,86.8,92.9,76.0,81.6,89.6,98.2,16325,43.0,57.0,4442,24.0,76.0,2703,69.0,31.0
11,11,National University of Singapore (NUS),Singapore,Singapore,92.7,99.5,94.1,91.8,79.8,73.5,100.0,89.9,99.6,30725,82.0,18.0,8129,53.0,47.0,4268,37.0,63.0
12,12,Peking University,Beijing,China,91.3,99.3,96.5,96.7,87.3,36.9,57.1,77.5,91.4,31873,53.0,47.0,5436,61.0,39.0,5361,77.0,23.0
13,13,University of Pennsylvania,Philadelphia,United States,90.6,96.5,92.5,70.9,99.9,66.1,96.2,93.3,100.0,22261,44.0,56.0,5426,24.0,76.0,5069,59.0,41.0
14,14,Tsinghua University,Beijing,China,90.1,98.9,97.7,98.1,92.8,25.7,16.7,75.5,87.1,36893,43.0,57.0,5162,46.0,54.0,6136,94.0,6.0
15,15,The University of Edinburgh,Edinburgh,United Kingdom,89.5,98.0,97.2,70.1,81.1,99.5,98.9,98.7,54.3,33861,71.0,29.0,15268,57.0,43.0,4865,54.0,46.0
16,16,EPFL,Lausanne,Switzerland,89.2,83.7,71.8,99.4,91.1,100.0,100.0,87.3,28.0,10919,50.0,50.0,6837,42.0,58.0,1757,20.0,80.0
